# Input: tmp2.adj
# Nodes: 747    Edges: 30025
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.521340
# Communities: 6
# NId	CommunityId
364	0
360	0
365	0
165	0
347	0
291	0
390	0
136	0
191	0
309	0
28	0
444	0
342	0
404	0
590	0
498	0
228	0
350	0
198	0
331	0
524	0
76	0
328	0
494	0
527	0
146	0
199	0
294	0
126	0
119	0
497	0
150	0
81	0
402	0
196	0
188	0
40	0
29	0
555	0
189	0
403	0
715	0
145	0
359	0
140	0
422	0
287	0
105	0
127	0
461	0
371	0
27	0
516	0
86	0
64	0
481	0
628	0
267	0
259	0
282	0
67	0
327	0
375	0
26	0
210	0
190	0
372	0
376	0
116	0
483	0
68	0
462	0
405	0
506	0
499	0
332	0
35	0
214	0
310	0
62	0
362	0
16	0
17	0
65	0
207	0
85	0
77	0
491	0
318	0
96	0
209	0
423	0
556	0
125	0
349	0
135	0
622	0
89	0
19	0
441	0
115	0
442	0
396	0
39	0
205	0
113	0
672	0
234	0
367	0
502	0
288	0
567	0
195	0
206	0
95	0
21	0
308	0
426	0
192	0
319	0
213	0
398	0
268	0
333	0
369	0
124	0
523	0
285	0
292	0
155	0
232	0
576	0
380	0
323	0
329	0
60	0
118	0
410	0
363	0
495	0
378	0
408	0
671	0
286	0
459	0
412	0
63	0
669	0
330	0
379	0
631	0
149	0
320	0
508	0
322	0
464	0
469	0
482	0
141	0
616	0
90	0
354	0
159	0
566	0
411	0
580	0
222	0
570	0
208	0
578	0
586	0
458	0
577	0
488	0
550	0
541	0
545	0
615	0
573	0
714	0
535	0
565	0
281	0
560	0
479	0
20	0
171	0
345	0
401	0
399	0
568	0
572	0
438	0
388	0
505	0
640	0
520	0
620	0
548	0
526	0
9	0
463	0
559	0
436	0
431	0
657	0
653	0
496	0
633	0
8	0
185	0
326	0
470	0
180	0
74	0
614	0
681	0
325	0
34	0
563	0
623	0
608	0
489	0
106	0
466	0
730	0
316	0
421	0
430	0
700	0
547	0
647	0
601	0
280	0
384	0
176	0
544	0
637	0
522	0
549	0
509	0
61	0
510	0
129	0
223	0
501	0
130	0
414	0
368	0
73	0
170	0
427	0
476	0
663	0
708	0
634	0
740	0
673	0
632	0
255	0
626	0
683	0
664	0
705	0
651	0
698	0
569	0
602	0
743	0
175	0
645	0
709	0
619	0
718	0
724	0
648	0
736	0
492	0
649	0
656	0
518	0
720	0
741	0
745	0
484	0
617	0
605	0
604	0
655	0
742	0
472	1
273	1
661	1
71	1
72	1
236	1
582	1
225	1
296	1
643	1
201	1
224	1
336	1
42	1
324	1
272	1
642	1
237	1
468	1
450	1
337	1
200	1
562	1
650	1
490	1
480	1
575	1
262	1
525	1
603	1
406	1
407	1
177	1
583	1
108	1
581	1
449	1
41	1
467	1
445	1
487	1
3	1
429	1
611	1
107	1
263	1
478	1
453	1
297	1
452	1
270	1
471	1
594	1
627	1
274	1
447	1
413	1
2	1
593	1
513	1
391	1
238	1
460	1
256	1
662	1
473	1
269	1
229	1
639	1
618	1
366	1
561	1
746	2
737	2
738	2
219	3
321	3
151	3
132	3
131	3
157	3
100	3
133	3
1	3
44	3
173	3
507	3
377	3
217	3
112	3
38	3
275	3
226	3
143	3
181	3
351	3
148	3
317	3
303	3
457	3
257	3
243	3
47	3
25	3
503	3
97	3
75	3
227	3
193	3
240	3
88	3
70	3
0	3
261	3
392	3
387	3
218	3
91	3
247	3
439	3
182	3
167	3
564	3
14	3
54	3
137	3
166	3
304	3
98	3
178	3
158	3
417	3
437	3
385	3
104	3
53	3
13	3
314	3
18	3
504	3
168	3
69	3
305	3
383	3
142	3
428	3
299	3
111	3
6	3
82	3
242	3
235	3
216	3
397	3
31	3
161	3
78	3
37	3
419	3
154	3
122	3
477	3
94	3
307	3
4	3
540	3
48	3
43	3
252	3
50	3
138	3
30	3
56	3
241	3
109	3
293	3
475	3
194	3
266	3
121	3
152	3
83	3
215	3
395	3
179	3
156	3
139	3
418	3
278	3
279	3
80	3
440	3
465	3
435	3
33	3
246	3
153	3
51	3
174	3
123	3
52	3
370	3
335	3
99	3
584	3
117	3
103	3
394	3
451	3
352	3
250	3
204	3
334	3
353	3
271	3
92	3
511	3
128	3
373	3
251	3
84	3
24	3
160	3
15	3
386	3
260	3
456	3
59	3
517	3
164	3
93	3
290	3
197	3
277	3
10	3
534	3
312	3
455	3
114	3
55	3
186	3
162	3
5	3
432	3
79	3
102	3
284	3
11	3
233	3
542	3
57	3
134	3
36	3
512	3
393	3
348	3
110	3
12	3
341	3
258	3
101	3
49	3
187	3
147	3
120	3
302	3
298	3
7	3
87	3
66	3
163	3
249	3
58	3
276	3
